file,job_id,classes,samples,pca_dim,feature_depth,vqc_iterations,seed,native_best_accuracy,native_best_runtime_sec,quantum_kernel_accuracy,quantum_kernel_runtime_sec,quantum_kernel_required_speedup,qnn_vqc_accuracy,qnn_vqc_runtime_sec,qnn_vqc_required_speedup
data/raw/perlmutter/digits_expanded/digits_55422136_c5v8_128s_4p_d2_i4_seed11.json,55422136,"5,8",128,4,2,4,11,0.96875,0.014154397009406239,0.84375,6.284710798994638,444.0111998284464,0.78125,0.42436157300835475,29.98090082723745
data/raw/perlmutter/digits_expanded/digits_55422136_c5v8_256s_12p_d2_i3_seed11.json,55422136,"5,8",256,12,2,3,11,0.984375,0.016646828007651493,0.84375,6.624044222990051,397.9163009280445,0.6875,2.081101354007842,125.01488890563965
data/raw/perlmutter/digits_expanded/digits_55422136_c5v8_256s_4p_d1_i4_seed11.json,55422136,"5,8",256,4,1,4,11,0.984375,0.01629012799821794,0.9375,6.888988277991302,422.8934406620331,0.65625,0.5834805739868898,35.81804722778849
data/raw/perlmutter/digits_expanded/digits_55422136_c5v8_256s_4p_d3_i4_seed13.json,55422136,"5,8",256,4,3,4,13,0.96875,0.016269418003503233,0.53125,6.206386687990744,381.47564262313165,0.578125,0.992487629991956,61.00326574547703
data/raw/perlmutter/digits_expanded/digits_55422137_c0v1_128s_16p_d1_i2_seed13.json,55422137,"0,1",128,16,1,2,13,1.0,0.014499058976070955,0.96875,6.503196645993739,448.5254289072501,0.8125,0.8957005730189849,61.77646249299603
data/raw/perlmutter/digits_expanded/digits_55422137_c0v1_128s_8p_d2_i4_seed11.json,55422137,"0,1",128,8,2,4,11,1.0,0.014119464001851156,0.96875,6.306685741001274,446.66608733691487,0.9375,0.7758963079832029,54.95224945376663
data/raw/perlmutter/digits_expanded/digits_55422137_c0v1_256s_16p_d2_i2_seed11.json,55422137,"0,1",256,16,2,2,11,1.0,0.01761020699632354,0.890625,6.606774810992647,375.1673567705328,0.890625,2.9097041960048955,165.2282790663591
data/raw/perlmutter/digits_expanded/digits_55422137_c0v1_256s_8p_d1_i4_seed11.json,55422137,"0,1",256,8,1,4,11,1.0,0.016254043992375955,0.984375,5.93285690198536,365.00804998240426,0.9375,1.0568715609842911,65.02206844524491
data/raw/perlmutter/digits_expanded/digits_55422137_c0v1_256s_8p_d3_i4_seed13.json,55422137,"0,1",256,8,3,4,13,1.0,0.016311133978888392,0.9375,6.3046725769818295,386.52570600805615,0.765625,2.076513239997439,127.30649154651563
data/raw/perlmutter/digits_expanded/digits_55422137_c3v8_128s_16p_d1_i2_seed13.json,55422137,"3,8",128,16,1,2,13,1.0,0.014473631978034973,0.84375,6.181643679999979,427.0969228305082,0.5625,1.0900477090035565,75.31265895511238
data/raw/perlmutter/digits_expanded/digits_55422137_c3v8_128s_8p_d2_i4_seed11.json,55422137,"3,8",128,8,2,4,11,0.9375,0.014218326017726213,0.84375,6.36077767398092,447.3647366118091,0.78125,0.7898433179943822,55.551076618279254
data/raw/perlmutter/digits_expanded/digits_55422137_c3v8_256s_16p_d2_i2_seed11.json,55422137,"3,8",256,16,2,2,11,0.96875,0.016733702999772504,0.890625,6.827136214997154,407.9871750496569,0.75,2.6459925009985454,158.12354868701314
data/raw/perlmutter/digits_expanded/digits_55422137_c3v8_256s_8p_d1_i4_seed11.json,55422137,"3,8",256,8,1,4,11,0.96875,0.016585045988904312,0.84375,6.212859270017361,374.60609239033005,0.65625,1.075277324009221,64.83414786601138
data/raw/perlmutter/digits_expanded/digits_55422137_c3v8_256s_8p_d3_i4_seed13.json,55422137,"3,8",256,8,3,4,13,0.984375,0.01745284500066191,0.671875,6.584337798005436,377.26444013888397,0.625,2.0656730920018163,118.35738482313195
data/raw/perlmutter/digits_expanded/digits_55422137_c4v9_128s_16p_d1_i2_seed13.json,55422137,"4,9",128,16,1,2,13,1.0,0.01584439299767837,0.96875,6.739183189987671,425.33552348614063,0.84375,1.1094397290144116,70.0209676178175
data/raw/perlmutter/digits_expanded/digits_55422137_c4v9_128s_8p_d2_i4_seed11.json,55422137,"4,9",128,8,2,4,11,1.0,0.01418308902066201,0.9375,5.908428487018682,416.5826272690842,0.78125,0.779261930991197,54.943033203554144
