file,workload,family,quality_metric,native_runtime_sec,native_selected_model,native_best_quality_model,native_model_count,quantum_runtime_sec,speedup_required,native_quality,quantum_quality,quality_gap,one_qubit_gates,two_qubit_gates,measurement_ops,circuit_evaluations,slurm_job_id,total_runtime_sec,seed,ml_samples,ml_features,ml_classes,ml_dataset,digits_classes,dataset_name,ml_depth,chem_grid,chem_layers,chem_hamiltonian_json,opt_nodes,opt_graph,opt_grid,sim_model,sim_initial_state,sim_qubits,sim_steps,path,status,quality_tolerance,measurement_fraction,taxonomy,taxonomy_reason
practical_strongnative_32node_large128c0c127_20260704060230_c59_sim_heisenberg_6q_10steps_r2_seed2031.json,simulation,hamiltonian_simulation,absolute_observable_error,0.0025160910154227167,exact_dense_eigendecomposition_numpy,,0,7.121898462006357,2830.5408740588978,0.028435823107617414,-0.06462350891281432,0.09305933202043173,613,300,6,1,strongnative_32node_large128c0c127_20260704060230_c59,7.134102190990234,2031,72,4,3,synthetic,"0,1,2",,1,21,1,,4,chordal,7,heisenberg,auto,6,10,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c59_sim_heisenberg_6q_10steps_r2_seed2031.json,ok,0.01,0.006528835690968444,quality-limited,quality_gap>0.01
practical_strongnative_32node_large128c0c127_20260704060230_c59_sim_heisenberg_6q_10steps_r3_seed3031.json,simulation,hamiltonian_simulation,absolute_observable_error,0.0026892260066233575,exact_dense_eigendecomposition_numpy,,0,6.668165259994566,2479.5852946429145,0.028435823107617414,-0.06462350891281432,0.09305933202043173,613,300,6,1,strongnative_32node_large128c0c127_20260704060230_c59,6.688840967020951,3031,72,4,3,synthetic,"0,1,2",,1,21,1,,4,chordal,7,heisenberg,auto,6,10,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c59_sim_heisenberg_6q_10steps_r3_seed3031.json,ok,0.01,0.006528835690968444,quality-limited,quality_gap>0.01
practical_strongnative_32node_large128c0c127_20260704060230_c5_chem_4q_l1_grid13_r0_seed17.json,chemistry,chemistry_vqe,absolute_energy_error,0.0001755690318532288,exact_diagonalization_numpy,,0,7.70127365400549,43864.64727129985,-1.705732892552902,-0.9019600519043551,0.8037728406485469,232,87,116,29,strongnative_32node_large128c0c127_20260704060230_c5,7.709234335983638,17,72,4,3,synthetic,"0,1,2",,1,13,1,benchmarks/workloads/hamiltonians/molecular_chain_4q.json,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c5_chem_4q_l1_grid13_r0_seed17.json,ok,0.01,0.26666666666666666,quality-limited,quality_gap>0.01
practical_strongnative_32node_large128c0c127_20260704060230_c5_chem_h2_l2_grid17_r2_seed2023.json,chemistry,chemistry_vqe,absolute_energy_error,0.0001542479731142521,exact_diagonalization_numpy,,0,7.615577276039403,49372.300473592055,-1.85727503020238,-1.8369679912029844,0.020307038999395566,296,74,74,37,strongnative_32node_large128c0c127_20260704060230_c5,7.624892007035669,2023,72,4,3,synthetic,"0,1,2",,1,17,2,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c5_chem_h2_l2_grid17_r2_seed2023.json,ok,0.01,0.16666666666666666,quality-limited,quality_gap>0.01
practical_strongnative_32node_large128c0c127_20260704060230_c5_ml_digits_c0v1v2_128s_8q_d2_r0_seed17.json,ml,multiclass_ml,test_accuracy,0.00016412697732448578,nearest_centroid_numpy,nearest_centroid_numpy,6,13.86884310998721,84500.6916965755,1.0,0.6875,0.3125,4096,1792,1024,128,strongnative_32node_large128c0c127_20260704060230_c5,14.090169950039126,17,128,8,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c5_ml_digits_c0v1v2_128s_8q_d2_r0_seed17.json,ok,0.02,0.14814814814814814,quality-limited,quality_gap>0.02
practical_strongnative_32node_large128c0c127_20260704060230_c5_ml_digits_c0v1v2_128s_8q_d2_r0_seed23.json,ml,multiclass_ml,test_accuracy,0.0008332810248248279,knn_numpy,knn_numpy,6,7.684313795994967,9221.755406719314,1.0,0.625,0.375,4096,1792,1024,128,strongnative_32node_large128c0c127_20260704060230_c5,7.800324715964962,23,128,8,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c5_ml_digits_c0v1v2_128s_8q_d2_r0_seed23.json,ok,0.02,0.14814814814814814,quality-limited,quality_gap>0.02
practical_strongnative_32node_large128c0c127_20260704060230_c5_ml_digits_c0v1v2_128s_8q_d2_r0_seed31.json,ml,multiclass_ml,test_accuracy,0.00015766499564051628,nearest_centroid_numpy,nearest_centroid_numpy,6,7.371007320005447,46751.07045835142,1.0,0.75,0.25,4096,1792,1024,128,strongnative_32node_large128c0c127_20260704060230_c5,7.464174091001041,31,128,8,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c5_ml_digits_c0v1v2_128s_8q_d2_r0_seed31.json,ok,0.02,0.14814814814814814,quality-limited,quality_gap>0.02
practical_strongnative_32node_large128c0c127_20260704060230_c5_ml_digits_c0v1v2_128s_8q_d2_r0_seed43.json,ml,multiclass_ml,test_accuracy,0.00016325601609423757,linear_ridge_numpy,linear_ridge_numpy,6,7.162271847017109,43871.41140870897,1.0,0.8125,0.1875,4096,1792,1024,128,strongnative_32node_large128c0c127_20260704060230_c5,7.257214272976853,43,128,8,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c5_ml_digits_c0v1v2_128s_8q_d2_r0_seed43.json,ok,0.02,0.14814814814814814,quality-limited,quality_gap>0.02
practical_strongnative_32node_large128c0c127_20260704060230_c5_ml_digits_c0v1v2_128s_8q_d2_r1_seed1017.json,ml,multiclass_ml,test_accuracy,0.0008374589961022139,knn_numpy,knn_numpy,6,6.824662141967565,8149.249305018629,1.0,0.71875,0.28125,4096,1792,1024,128,strongnative_32node_large128c0c127_20260704060230_c5,6.917516993009485,1017,128,8,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c5_ml_digits_c0v1v2_128s_8q_d2_r1_seed1017.json,ok,0.02,0.14814814814814814,quality-limited,quality_gap>0.02
practical_strongnative_32node_large128c0c127_20260704060230_c5_ml_digits_c0v1v2_128s_8q_d2_r1_seed1023.json,ml,multiclass_ml,test_accuracy,0.0001560910022817552,nearest_centroid_numpy,nearest_centroid_numpy,6,7.043000734003726,45121.119289698814,0.9375,0.59375,0.34375,4096,1792,1024,128,strongnative_32node_large128c0c127_20260704060230_c5,7.140048991015647,1023,128,8,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c5_ml_digits_c0v1v2_128s_8q_d2_r1_seed1023.json,ok,0.02,0.14814814814814814,quality-limited,quality_gap>0.02
practical_strongnative_32node_large128c0c127_20260704060230_c5_ml_digits_c0v1v2_128s_8q_d2_r1_seed1031.json,ml,multiclass_ml,test_accuracy,0.00014061195543035865,nearest_centroid_numpy,nearest_centroid_numpy,6,6.992644274025224,49730.083424438926,0.96875,0.84375,0.125,4096,1792,1024,128,strongnative_32node_large128c0c127_20260704060230_c5,7.087490012985654,1031,128,8,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c5_ml_digits_c0v1v2_128s_8q_d2_r1_seed1031.json,ok,0.02,0.14814814814814814,quality-limited,quality_gap>0.02
practical_strongnative_32node_large128c0c127_20260704060230_c5_ml_digits_c0v1v2_128s_8q_d2_r1_seed1043.json,ml,multiclass_ml,test_accuracy,0.00015910802176222205,nearest_centroid_numpy,nearest_centroid_numpy,6,7.1607673689723015,45005.69669374473,1.0,0.78125,0.21875,4096,1792,1024,128,strongnative_32node_large128c0c127_20260704060230_c5,7.2539878959651105,1043,128,8,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c5_ml_digits_c0v1v2_128s_8q_d2_r1_seed1043.json,ok,0.02,0.14814814814814814,quality-limited,quality_gap>0.02
practical_strongnative_32node_large128c0c127_20260704060230_c5_ml_digits_c0v1v2_128s_8q_d2_r2_seed2017.json,ml,multiclass_ml,test_accuracy,0.0001679750275798142,linear_ridge_numpy,linear_ridge_numpy,6,7.3126167669543065,43533.95187555293,1.0,0.65625,0.34375,4096,1792,1024,128,strongnative_32node_large128c0c127_20260704060230_c5,7.407574992976151,2017,128,8,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c5_ml_digits_c0v1v2_128s_8q_d2_r2_seed2017.json,ok,0.02,0.14814814814814814,quality-limited,quality_gap>0.02
practical_strongnative_32node_large128c0c127_20260704060230_c5_ml_digits_c0v1v2_128s_8q_d2_r2_seed2023.json,ml,multiclass_ml,test_accuracy,0.00016400701133534312,linear_ridge_numpy,linear_ridge_numpy,6,7.040600403037388,42928.65497464348,1.0,0.59375,0.40625,4096,1792,1024,128,strongnative_32node_large128c0c127_20260704060230_c5,7.141239893971942,2023,128,8,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c5_ml_digits_c0v1v2_128s_8q_d2_r2_seed2023.json,ok,0.02,0.14814814814814814,quality-limited,quality_gap>0.02
practical_strongnative_32node_large128c0c127_20260704060230_c5_ml_digits_c0v1v2_128s_8q_d2_r2_seed2031.json,ml,multiclass_ml,test_accuracy,0.0001605310244485736,nearest_centroid_numpy,nearest_centroid_numpy,6,6.977660620003007,43466.11905064067,1.0,0.65625,0.34375,4096,1792,1024,128,strongnative_32node_large128c0c127_20260704060230_c5,7.0703755029826425,2031,128,8,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c5_ml_digits_c0v1v2_128s_8q_d2_r2_seed2031.json,ok,0.02,0.14814814814814814,quality-limited,quality_gap>0.02
practical_strongnative_32node_large128c0c127_20260704060230_c5_ml_digits_c0v1v2_128s_8q_d2_r2_seed2043.json,ml,multiclass_ml,test_accuracy,0.00015812501078471541,nearest_centroid_numpy,nearest_centroid_numpy,6,7.378688292985316,46663.63819592891,1.0,0.71875,0.28125,4096,1792,1024,128,strongnative_32node_large128c0c127_20260704060230_c5,7.503964066039771,2043,128,8,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c5_ml_digits_c0v1v2_128s_8q_d2_r2_seed2043.json,ok,0.02,0.14814814814814814,quality-limited,quality_gap>0.02
practical_strongnative_32node_large128c0c127_20260704060230_c5_ml_digits_c0v1v2_128s_8q_d2_r3_seed3017.json,ml,multiclass_ml,test_accuracy,0.00015935796545818448,nearest_centroid_numpy,nearest_centroid_numpy,6,8.352178097993601,52411.42527127213,1.0,0.59375,0.40625,4096,1792,1024,128,strongnative_32node_large128c0c127_20260704060230_c5,8.44511536200298,3017,128,8,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c5_ml_digits_c0v1v2_128s_8q_d2_r3_seed3017.json,ok,0.02,0.14814814814814814,quality-limited,quality_gap>0.02
practical_strongnative_32node_large128c0c127_20260704060230_c5_ml_digits_c0v1v2_128s_8q_d2_r3_seed3023.json,ml,multiclass_ml,test_accuracy,0.012383219960611314,rbf_kernel_ridge_numpy,rbf_kernel_ridge_numpy,6,7.217830901034176,582.8718963236327,1.0,0.5625,0.4375,4096,1792,1024,128,strongnative_32node_large128c0c127_20260704060230_c5,7.324660789046902,3023,128,8,3,digits,"0,1,2",sklearn_digits,2,21,1,,4,chordal,7,tfim,auto,4,4,data/raw/perlmutter/practical_suite_sweep/practical_strongnative_32node_large128c0c127_20260704060230_c5_ml_digits_c0v1v2_128s_8q_d2_r3_seed3023.json,ok,0.02,0.14814814814814814,quality-limited,quality_gap>0.02
