JobID|JobName|State|ExitCode|Elapsed|Submit|Start|End|AllocTRES
55804478_4|qsup-d1split|COMPLETED|0:0|00:44:04|2026-07-11T15:45:48|2026-07-11T18:48:51|2026-07-11T19:32:55|billing=32,cpu=32,energy=1637733,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_4.batch|batch|COMPLETED|0:0|00:44:04|2026-07-11T18:48:51|2026-07-11T18:48:51|2026-07-11T19:32:55|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_4.extern|extern|COMPLETED|0:0|00:44:05|2026-07-11T18:48:51|2026-07-11T18:48:51|2026-07-11T19:32:56|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_5|qsup-d1split|COMPLETED|0:0|00:44:51|2026-07-11T15:45:48|2026-07-11T18:50:16|2026-07-11T19:35:07|billing=32,cpu=32,energy=1676293,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_5.batch|batch|COMPLETED|0:0|00:44:51|2026-07-11T18:50:16|2026-07-11T18:50:16|2026-07-11T19:35:07|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_5.extern|extern|COMPLETED|0:0|00:44:51|2026-07-11T18:50:16|2026-07-11T18:50:16|2026-07-11T19:35:07|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_6|qsup-d1split|COMPLETED|0:0|00:43:30|2026-07-11T15:45:48|2026-07-11T20:38:37|2026-07-11T21:22:07|billing=32,cpu=32,energy=1599974,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_6.batch|batch|COMPLETED|0:0|00:43:30|2026-07-11T20:38:37|2026-07-11T20:38:37|2026-07-11T21:22:07|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_6.extern|extern|COMPLETED|0:0|00:43:32|2026-07-11T20:38:37|2026-07-11T20:38:37|2026-07-11T21:22:09|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_7|qsup-d1split|COMPLETED|0:0|00:41:03|2026-07-11T15:45:48|2026-07-11T21:23:45|2026-07-11T22:04:48|billing=32,cpu=32,energy=1426453,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_7.batch|batch|COMPLETED|0:0|00:41:03|2026-07-11T21:23:45|2026-07-11T21:23:45|2026-07-11T22:04:48|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_7.extern|extern|COMPLETED|0:0|00:41:03|2026-07-11T21:23:45|2026-07-11T21:23:45|2026-07-11T22:04:48|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_8|qsup-d1split|COMPLETED|0:0|00:39:12|2026-07-11T15:45:48|2026-07-11T21:46:02|2026-07-11T22:25:14|billing=32,cpu=32,energy=1378338,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_8.batch|batch|COMPLETED|0:0|00:39:12|2026-07-11T21:46:02|2026-07-11T21:46:02|2026-07-11T22:25:14|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_8.extern|extern|COMPLETED|0:0|00:39:15|2026-07-11T21:46:02|2026-07-11T21:46:02|2026-07-11T22:25:17|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_9|qsup-d1split|COMPLETED|0:0|00:37:33|2026-07-11T15:45:48|2026-07-11T22:23:07|2026-07-11T23:00:40|billing=32,cpu=32,energy=1543606,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_9.batch|batch|COMPLETED|0:0|00:37:33|2026-07-11T22:23:07|2026-07-11T22:23:07|2026-07-11T23:00:40|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_9.extern|extern|COMPLETED|0:0|00:37:33|2026-07-11T22:23:07|2026-07-11T22:23:07|2026-07-11T23:00:40|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_10|qsup-d1split|COMPLETED|0:0|00:37:18|2026-07-11T15:45:48|2026-07-11T22:28:16|2026-07-11T23:05:34|billing=32,cpu=32,energy=1292182,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_10.batch|batch|COMPLETED|0:0|00:37:18|2026-07-11T22:28:16|2026-07-11T22:28:16|2026-07-11T23:05:34|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_10.extern|extern|COMPLETED|0:0|00:37:18|2026-07-11T22:28:16|2026-07-11T22:28:16|2026-07-11T23:05:34|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_11|qsup-d1split|COMPLETED|0:0|00:44:56|2026-07-11T15:45:48|2026-07-11T22:54:31|2026-07-11T23:39:27|billing=32,cpu=32,energy=1469419,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_11.batch|batch|COMPLETED|0:0|00:44:56|2026-07-11T22:54:31|2026-07-11T22:54:31|2026-07-11T23:39:27|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_11.extern|extern|COMPLETED|0:0|00:44:58|2026-07-11T22:54:31|2026-07-11T22:54:31|2026-07-11T23:39:29|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_12|qsup-d1split|COMPLETED|0:0|00:48:45|2026-07-11T15:45:48|2026-07-11T23:03:42|2026-07-11T23:52:27|billing=32,cpu=32,energy=1507017,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_12.batch|batch|COMPLETED|0:0|00:48:45|2026-07-11T23:03:42|2026-07-11T23:03:42|2026-07-11T23:52:27|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_12.extern|extern|COMPLETED|0:0|00:48:48|2026-07-11T23:03:42|2026-07-11T23:03:42|2026-07-11T23:52:30|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_13|qsup-d1split|COMPLETED|0:0|00:45:50|2026-07-11T15:45:48|2026-07-11T23:03:42|2026-07-11T23:49:32|billing=32,cpu=32,energy=1902334,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_13.batch|batch|COMPLETED|0:0|00:45:50|2026-07-11T23:03:42|2026-07-11T23:03:42|2026-07-11T23:49:32|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_13.extern|extern|COMPLETED|0:0|00:45:52|2026-07-11T23:03:42|2026-07-11T23:03:42|2026-07-11T23:49:34|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_14|qsup-d1split|COMPLETED|0:0|00:56:21|2026-07-11T15:45:48|2026-07-11T23:45:21|2026-07-12T00:41:42|billing=32,cpu=32,energy=1523109,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_14.batch|batch|COMPLETED|0:0|00:56:21|2026-07-11T23:45:21|2026-07-11T23:45:21|2026-07-12T00:41:42|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_14.extern|extern|COMPLETED|0:0|00:56:21|2026-07-11T23:45:21|2026-07-11T23:45:21|2026-07-12T00:41:42|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_15|qsup-d1split|COMPLETED|0:0|00:56:20|2026-07-11T15:45:48|2026-07-11T23:45:21|2026-07-12T00:41:41|billing=32,cpu=32,energy=1523305,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_15.batch|batch|COMPLETED|0:0|00:56:20|2026-07-11T23:45:21|2026-07-11T23:45:21|2026-07-12T00:41:41|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_15.extern|extern|COMPLETED|0:0|00:56:21|2026-07-11T23:45:21|2026-07-11T23:45:21|2026-07-12T00:41:42|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_16|qsup-d1split|COMPLETED|0:0|00:55:58|2026-07-11T15:45:48|2026-07-11T23:45:37|2026-07-12T00:41:35|billing=32,cpu=32,energy=1510037,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_16.batch|batch|COMPLETED|0:0|00:55:58|2026-07-11T23:45:37|2026-07-11T23:45:37|2026-07-12T00:41:35|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_16.extern|extern|COMPLETED|0:0|00:55:58|2026-07-11T23:45:37|2026-07-11T23:45:37|2026-07-12T00:41:35|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_17|qsup-d1split|COMPLETED|0:0|00:51:56|2026-07-11T15:45:48|2026-07-11T23:51:18|2026-07-12T00:43:14|billing=32,cpu=32,energy=2015870,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_17.batch|batch|COMPLETED|0:0|00:51:56|2026-07-11T23:51:18|2026-07-11T23:51:18|2026-07-12T00:43:14|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_17.extern|extern|COMPLETED|0:0|00:51:56|2026-07-11T23:51:18|2026-07-11T23:51:18|2026-07-12T00:43:14|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_18|qsup-d1split|COMPLETED|0:0|00:51:44|2026-07-11T15:45:48|2026-07-12T00:00:21|2026-07-12T00:52:05|billing=32,cpu=32,energy=2036808,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_18.batch|batch|COMPLETED|0:0|00:51:44|2026-07-12T00:00:21|2026-07-12T00:00:21|2026-07-12T00:52:05|cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
55804478_18.extern|extern|COMPLETED|0:0|00:51:44|2026-07-12T00:00:21|2026-07-12T00:00:21|2026-07-12T00:52:05|billing=32,cpu=32,gres/gpu:a100=1,gres/gpu=1,mem=57472M,node=1
